decoy_set,primary_decoy_set,threshold,n_queries,n_decoy_query_candidate_pairs,true_candidate_hits,decoy_hits,queries_with_decoy_hit,true_candidate_recall,decoy_candidate_fpr,decoy_query_fpr,candidate_precision_proxy,query_precision_proxy,weight_search_run,locked_test_used_for_weight_tuning
all_nonself_pfas_broad_sensitivity,False,0.256061,64,12160,40,286,47,0.625,0.023519736842105263,0.734375,0.12269938650306748,0.45977011494252873,False,False
all_nonself_pfas_broad_sensitivity,False,0.3,64,12160,34,179,41,0.53125,0.014720394736842106,0.640625,0.1596244131455399,0.4533333333333333,False,False
all_nonself_pfas_broad_sensitivity,False,0.326625,64,12160,32,138,39,0.5,0.011348684210526316,0.609375,0.18823529411764706,0.4507042253521127,False,False
all_nonself_pfas_broad_sensitivity,False,0.347952,64,12160,30,116,39,0.46875,0.009539473684210526,0.609375,0.2054794520547945,0.43478260869565216,False,False
all_nonself_pfas_broad_sensitivity,False,0.35,64,12160,30,111,37,0.46875,0.009128289473684211,0.578125,0.2127659574468085,0.44776119402985076,False,False
all_nonself_pfas_broad_sensitivity,False,0.4,64,12160,30,69,31,0.46875,0.005674342105263158,0.484375,0.30303030303030304,0.4918032786885246,False,False
all_nonself_pfas_broad_sensitivity,False,0.45,64,12160,27,52,28,0.421875,0.0042763157894736845,0.4375,0.34177215189873417,0.4909090909090909,False,False
all_nonself_pfas_broad_sensitivity,False,0.5,64,12160,22,42,24,0.34375,0.0034539473684210525,0.375,0.34375,0.4782608695652174,False,False
all_nonself_pfas_broad_sensitivity,False,0.55,64,12160,18,31,16,0.28125,0.002549342105263158,0.25,0.3673469387755102,0.5294117647058824,False,False
all_nonself_pfas_broad_sensitivity,False,0.574659,64,12160,16,31,16,0.25,0.002549342105263158,0.25,0.3404255319148936,0.5,False,False
all_nonself_pfas_broad_sensitivity,False,0.6,64,12160,13,28,15,0.203125,0.002302631578947368,0.234375,0.3170731707317073,0.4642857142857143,False,False
all_nonself_pfas_broad_sensitivity,False,0.60116,64,12160,13,27,15,0.203125,0.0022203947368421052,0.234375,0.325,0.4642857142857143,False,False
all_nonself_pfas_broad_sensitivity,False,0.636241,64,12160,10,20,11,0.15625,0.001644736842105263,0.171875,0.3333333333333333,0.47619047619047616,False,False
all_nonself_pfas_broad_sensitivity,False,0.649717,64,12160,7,13,8,0.109375,0.0010690789473684211,0.125,0.35,0.4666666666666667,False,False
all_nonself_pfas_broad_sensitivity,False,0.65,64,12160,6,13,8,0.09375,0.0010690789473684211,0.125,0.3157894736842105,0.42857142857142855,False,False
all_nonself_pfas_broad_sensitivity,False,0.672352,64,12160,4,10,7,0.0625,0.0008223684210526315,0.109375,0.2857142857142857,0.36363636363636365,False,False
all_nonself_pfas_broad_sensitivity,False,0.7,64,12160,2,7,6,0.03125,0.000575657894736842,0.09375,0.2222222222222222,0.25,False,False
all_nonself_pfas_broad_sensitivity,False,0.734712,64,12160,2,5,4,0.03125,0.00041118421052631577,0.0625,0.2857142857142857,0.3333333333333333,False,False
all_nonself_pfas_broad_sensitivity,False,0.75,64,12160,2,5,4,0.03125,0.00041118421052631577,0.0625,0.2857142857142857,0.3333333333333333,False,False
all_nonself_pfas_broad_sensitivity,False,0.8,64,12160,2,4,4,0.03125,0.0003289473684210526,0.0625,0.3333333333333333,0.3333333333333333,False,False
all_nonself_pfas_broad_sensitivity,False,0.805399,64,12160,1,3,3,0.015625,0.0002467105263157895,0.046875,0.25,0.25,False,False
all_nonself_pfas_broad_sensitivity,False,0.85,64,12160,0,1,1,0.0,8.223684210526316e-05,0.015625,0.0,0.0,False,False
all_nonself_pfas_broad_sensitivity,False,0.9,64,12160,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
all_nonself_pfas_broad_sensitivity,False,0.95,64,12160,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
all_nonself_pfas_broad_sensitivity,False,1.0,64,12160,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
